Job,Due,CreatedDate,Tags
"create a help pathway using tree of open. For mental health problems. Could have a separate log in for registered practitioners vs. everyone else.",01/04/2016,,
"create an online task to replace ADOS? - look into SDS (Skuse et al) and 3di (Maenner) and Waisman Activities of Daily Living Scale",01/04/2016,,
"to-do list (See To do Awaiting Done) - make an effective communal one ; include a chain of to-do i.e. one series of jobs which are collated on the list. This could be a good project for an Android-App",30/04/2016,,
"the open-book of wisdom - Like aesop's fables, each #wisdom I've written is taught in the form of a story/parable as a tree of open story, which is part of the open-book of wisdom project.",30/04/2016,,
"""double open seven"" project for launching Tree of Open - once a script has been finalised, it will be made into a film",30/04/2016,,
"Any progress? how to pass/fail a PhD biography: listing all the strange things that have happened as a chapter each",30/04/2016,,
"Any progress with autism social network?",30/04/2016,,
"Any progress on your Apps? Check you Apps folder?",30/04/2016,,
"Talk to Andy from people to places about making OSTrICH (Open Source Transport Ingenious Care Hire)",30/04/2016,,
"open-altruists society. People who are dedicated to being open (honest) and helping others regardless of religious creed. Being an open-altruist means that you wear a necklace with a code that can be scanned with a mobile phone (and a pin code), so that others can see your profile, and list deeds/misdeeds about you. Or deeds and misdeeds can only be reported by ratified open-altruists, and so being given membership gives you a credibility that should encourage others to co-operate with you. the open-society: almost like a belief system, never claiming perfection, always working for improvement through honesty and openness...",30/04/2016,,
"start apps for android, or contacting Rob about Collector hosting?",30/04/2016,,
"a website which looks up open-source images, and asks users to rate valence/arousal and summarises physical properties of them; to facilitate psychological research with them; Could also asks for completion of AQ and EQ questionnaires...???",30/04/2016,,
"trending gripes: create software, or an app, that allows students at a university to ""gripe"" about something, and uses algorithms to summarise and prioritise gripes. This could also be used in local councils, and reported by student/local papers.",30/04/2016,,
"create scatter plots to look for outliers in the correlations for the current data; AQ/EQ with PosHum/NegHum/PosRob/NegRob",30/04/2016,,
"learn Rob's new course on Ruby!",30/04/2016,,
"last-minute volunteering website. A service which connects people with volunteers for last minute work. Classifies volunteers and jobs by dbs (the new CRB). Ask people to places whether I can start developing the code to facilitate help from our volunteers? Could use this as a stepping stone for replacing CATSS with an open-source version????",30/04/2016,,
"Organise collection of food that will expire that day to give to homeless...? Homing currency, are you working on it??? Homing Academy?",01/05/2016,,
"Nail the Duo-Lingo course for French. It could be helpful... Get >3 in duolingo exam (current best, .063)",01/05/2016,,
"autism symptom clustering App: Free app for parents to list behaviours as they observe them; this would be both positive and negative tagging (i.e. a parent sees a behaviour listed and identifies that that is not related to their child). This then allows clustering of sub-types of autism (if that's appropriate)",01/05/2016,,
"find a way to run IPaD software on a computer, or something...",01/05/2016,,
"can deviance from the regression line reflect diminished responsiveness to the predictor variable? Or how poorly one variable modulates the other as a variable?",01/05/2016,,
